50101 - Cargill B.V.,50101,Cargill B.V.,24663,coobadi,Cote d'Ivoire,11/26/2025,719,307,1003,152,84913,77112,,3039,,31,31,,,12,3,11,0
50101 - Cargill B.V.,50101,Cargill B.V.,24664,socoopalao,Cote d'Ivoire,11/26/2025,1143,1336,2044,546,121211,121064,,2739,,30,30,,,9,3,8,0
50101 - Cargill B.V.,50101,Cargill B.V.,24665,socag,Cote d'Ivoire,11/26/2025,730,560,1216,172,30874,30754,,6715,,31,31,,,7,2,6,0
50101 - Cargill B.V.,50101,Cargill B.V.,24666,seca,Cote d'Ivoire,11/26/2025,708,732,1175,288,73448,73059,,2206,,29,29,,,9,0,9,0
50101 - Cargill B.V.,50101,Cargill B.V.,24667,socoopem,Cote d'Ivoire,11/26/2025,608,1762,1763,624,30455,30384,,4008,,31,31,,,13,1,10,0
50101 - Cargill B.V.,50101,Cargill B.V.,24668,adedo,Cote d'Ivoire,11/26/2025,1180,973,1232,919,48845,48441,,569,,33,33,,,11,2,8,1
50101 - Cargill B.V.,50101,Cargill B.V.,24669,edifie,Cote d'Ivoire,11/26/2025,542,175,802,109,42316,42231,,2714,,35,35,,,7,1,4,1
50101 - Cargill B.V.,50101,Cargill B.V.,24670,scps,Cote d'Ivoire,11/26/2025,314,1027,1094,306,71425,71264,,8086,,29,29,,,11,4,10,0
50101 - Cargill B.V.,50101,Cargill B.V.,24671,c3a,Cote d'Ivoire,11/26/2025,405,89,547,127,28911,28718,,1293,,30,30,,,6,1,6,0
50101 - Cargill B.V.,50101,Cargill B.V.,24672,socayema,Cote d'Ivoire,11/26/2025,732,514,1038,208,20939,20894,,1361,,30,30,,,8,2,8,0
50101 - Cargill B.V.,50101,Cargill B.V.,24673,caadi,Cote d'Ivoire,11/26/2025,,451,307,163,0,0,,277,,3,3,,,0,4,0,0
50101 - Cargill B.V.,50101,Cargill B.V.,24674,scaet,Cote d'Ivoire,11/26/2025,569,133,515,179,8839,8772,,500,,3,3,,,0,12,0,0
50101 - Cargill B.V.,50101,Cargill B.V.,24675,scoopaged,Cote d'Ivoire,11/26/2025,829,519,1098,311,31864,31790,,1727,,31,31,,,11,0,11,0
50101 - Cargill B.V.,50101,Cargill B.V.,24676,scopayo,Cote d'Ivoire,11/26/2025,391,128,474,139,4552,4451,,578,,28,28,,,7,0,7,0
50101 - Cargill B.V.,50101,Cargill B.V.,24677,socas,Cote d'Ivoire,11/26/2025,524,159,827,35,26288,26178,,2493,,28,28,,,18,2,17,0
50101 - Cargill B.V.,50101,Cargill B.V.,24678,socoopenha,Cote d'Ivoire,11/26/2025,561,616,1123,218,98954,98310,,1797,,29,29,,,10,0,10,0
50101 - Cargill B.V.,50101,Cargill B.V.,24679,scak,Cote d'Ivoire,11/26/2025,606,286,1209,131,40493,40361,,2145,,31,31,,,8,0,8,0
50101 - Cargill B.V.,50101,Cargill B.V.,24680,canwg,Cote d'Ivoire,11/26/2025,431,389,788,43,21366,21355,,497,,30,30,,,5,0,5,0
50101 - Cargill B.V.,50101,Cargill B.V.,24681,coofrado,Cote d'Ivoire,11/26/2025,691,314,1099,154,25200,25104,,971,,29,29,,,12,1,6,0
50101 - Cargill B.V.,50101,Cargill B.V.,24682,scosod,Cote d'Ivoire,11/26/2025,684,478,797,408,42328,42139,,1590,,31,31,,,15,9,14,0
50101 - Cargill B.V.,50101,Cargill B.V.,24683,ano,Cote d'Ivoire,11/26/2025,,625,586,98,16689,16549,,913,,3,3,,,0,9,0,0
50101 - Cargill B.V.,50101,Cargill B.V.,24684,anonklon,Cote d'Ivoire,11/26/2025,674,278,1083,68,21267,21078,,1395,,29,29,,,21,1,12,0
50101 - Cargill B.V.,50101,Cargill B.V.,24685,anouanze,Cote d'Ivoire,11/26/2025,,,0,0,0,0,,,,29,29,,,,,,0
50101 - Cargill B.V.,50101,Cargill B.V.,24686,binkadi,Cote d'Ivoire,11/26/2025,776,308,1111,73,20152,19507,,3908,,32,32,,,9,5,9,0
50101 - Cargill B.V.,50101,Cargill B.V.,24687,bredi,Cote d'Ivoire,11/26/2025,301,62,361,38,26174,26002,,929,,29,29,,,3,2,3,0
50101 - Cargill B.V.,50101,Cargill B.V.,24688,cabd,Cote d'Ivoire,11/26/2025,573,1002,889,789,49036,48942,,1288,,31,31,,,6,3,6,0
50101 - Cargill B.V.,50101,Cargill B.V.,24690,cafhs,Cote d'Ivoire,11/26/2025,954,563,1570,16,47683,47493,,600,,31,31,,,30,4,28,0
50101 - Cargill B.V.,50101,Cargill B.V.,24691,cag,Cote d'Ivoire,11/26/2025,1774,1830,3082,522,140893,140017,,2020,,30,30,,,16,6,15,0
50101 - Cargill B.V.,50101,Cargill B.V.,24692,cagdi,Cote d'Ivoire,11/26/2025,,,0,0,0,0,,,,29,29,,,,,,0
50101 - Cargill B.V.,50101,Cargill B.V.,24693,camene,Cote d'Ivoire,11/26/2025,,,0,0,0,0,,,,31,31,,,,,,0
50101 - Cargill B.V.,50101,Cargill B.V.,24694,capka,Cote d'Ivoire,11/26/2025,936,527,1150,337,24657,24331,,3762,,30,30,,,12,9,12,0
50101 - Cargill B.V.,50101,Cargill B.V.,24695,cjahs,Cote d'Ivoire,11/26/2025,842,472,1115,228,6651,6573,,1606,,29,29,,,5,0,4,0
50101 - Cargill B.V.,50101,Cargill B.V.,24696,coasabana,Cote d'Ivoire,11/26/2025,919,857,1064,747,52246,51918,,3112,,33,33,,,5,1,5,0
50101 - Cargill B.V.,50101,Cargill B.V.,24697,coasada,Cote d'Ivoire,11/26/2025,1579,496,2915,44,14529,14529,,,,30,30,,,12,1,12,0
50101 - Cargill B.V.,50101,Cargill B.V.,24698,coopabe,Cote d'Ivoire,11/26/2025,489,457,567,456,42693,42656,,2126,,29,29,,,10,1,10,0
50101 - Cargill B.V.,50101,Cargill B.V.,24699,coopadi,Cote d'Ivoire,11/26/2025,844,820,1200,469,32653,32630,,659,,30,30,,,14,2,14,0
50101 - Cargill B.V.,50101,Cargill B.V.,24700,coopapaixhs,Cote d'Ivoire,11/26/2025,825,809,1238,470,60718,60273,,2331,,38,38,,,11,1,10,0
50101 - Cargill B.V.,50101,Cargill B.V.,24701,coopaso,Cote d'Ivoire,11/26/2025,695,469,953,227,40741,40685,,1850,,30,30,,,10,1,9,0
50101 - Cargill B.V.,50101,Cargill B.V.,24702,ecakog,Cote d'Ivoire,11/26/2025,1763,1087,2501,409,128714,128261,,4783,,35,35,,,13,3,12,0
50101 - Cargill B.V.,50101,Cargill B.V.,24703,ecapg,Cote d'Ivoire,11/26/2025,1535,2171,2424,1695,125092,124475,,13,,30,30,,,12,0,11,0
50101 - Cargill B.V.,50101,Cargill B.V.,24704,ecb,Cote d'Ivoire,11/26/2025,293,726,619,423,32232,32155,,1293,,29,29,,,6,1,6,0
50101 - Cargill B.V.,50101,Cargill B.V.,24705,eko,Cote d'Ivoire,11/26/2025,1772,1754,2291,487,100156,99572,,8289,,30,30,,,20,12,18,1
50101 - Cargill B.V.,50101,Cargill B.V.,24706,esperance,Cote d'Ivoire,11/26/2025,,,0,0,0,0,,,,29,29,,,,,,0
50101 - Cargill B.V.,50101,Cargill B.V.,24707,krihiri,Cote d'Ivoire,11/26/2025,788,44,1315,2,69522,69408,,2015,,31,31,,,10,1,10,0
50101 - Cargill B.V.,50101,Cargill B.V.,24708,miensah,Cote d'Ivoire,11/26/2025,895,367,919,352,52399,52359,,4058,,30,30,,,9,3,9,0
50101 - Cargill B.V.,50101,Cargill B.V.,24709,montbian,Cote d'Ivoire,11/26/2025,1313,1561,2500,479,75632,74702,,7204,,30,30,,,20,3,17,0
50101 - Cargill B.V.,50101,Cargill B.V.,24710,nocoopasi,Cote d'Ivoire,11/26/2025,540,227,608,224,21768,21679,,22,,30,30,,,8,0,8,0
50101 - Cargill B.V.,50101,Cargill B.V.,24711,reja,Cote d'Ivoire,11/26/2025,942,511,1306,156,98026,97817,,1838,,30,30,,,14,4,12,0
50101 - Cargill B.V.,50101,Cargill B.V.,24712,sahs,Cote d'Ivoire,11/26/2025,1418,923,1872,491,47947,47736,,3735,,29,29,,,10,4,9,0
50101 - Cargill B.V.,50101,Cargill B.V.,24713,scaag,Cote d'Ivoire,11/26/2025,1,657,602,70,2,2,,,,4,4,,,1,4,1,0
50101 - Cargill B.V.,50101,Cargill B.V.,24714,scaes,Cote d'Ivoire,11/26/2025,2129,345,2458,21,67356,66702,,,,30,30,,,9,2,9,0
50101 - Cargill B.V.,50101,Cargill B.V.,24715,scalo,Cote d'Ivoire,11/26/2025,969,1035,1493,800,65423,65199,,5633,,30,30,,,10,14,10,0
50101 - Cargill B.V.,50101,Cargill B.V.,24716,scand,Cote d'Ivoire,11/26/2025,422,83,521,24,20865,20816,,2637,,30,30,,,7,2,7,0
50101 - Cargill B.V.,50101,Cargill B.V.,24717,scapeko,Cote d'Ivoire,11/26/2025,1199,249,1482,104,56532,56161,,4546,,30,30,,,17,0,17,0
50101 - Cargill B.V.,50101,Cargill B.V.,24718,scapen,Cote d'Ivoire,11/26/2025,1425,587,1105,860,108631,108003,,405,,29,29,,,12,3,12,0
50101 - Cargill B.V.,50101,Cargill B.V.,24719,scardi,Cote d'Ivoire,11/26/2025,505,1119,1156,638,41543,41351,,2502,,31,31,,,11,0,10,0
50101 - Cargill B.V.,50101,Cargill B.V.,24720,scareg,Cote d'Ivoire,11/26/2025,1720,1245,2505,468,121882,121594,,2794,,29,29,,,28,7,26,1
50101 - Cargill B.V.,50101,Cargill B.V.,24721,scbg,Cote d'Ivoire,11/26/2025,372,154,485,61,19382,19364,,1597,,30,30,,,9,2,9,0
50101 - Cargill B.V.,50101,Cargill B.V.,24722,scjpab,Cote d'Ivoire,11/26/2025,2812,1480,4286,140,244298,243746,,725,,30,30,,,5,1,5,0
50101 - Cargill B.V.,50101,Cargill B.V.,24723,scnvca,Cote d'Ivoire,11/26/2025,1751,1269,2520,827,87016,86427,,4692,,30,30,,,25,8,22,0
50101 - Cargill B.V.,50101,Cargill B.V.,24724,scoopaa,Cote d'Ivoire,11/26/2025,1032,15,1047,0,77671,77352,,12,,30,30,,,10,4,10,0
50101 - Cargill B.V.,50101,Cargill B.V.,24725,socab,Cote d'Ivoire,11/26/2025,,250,201,90,0,0,,223,,31,31,,,1,0,1,0
50101 - Cargill B.V.,50101,Cargill B.V.,24726,socada,Cote d'Ivoire,11/26/2025,948,430,1357,209,84444,83817,,331,,29,29,,,13,2,12,0
50101 - Cargill B.V.,50101,Cargill B.V.,24727,socadag,Cote d'Ivoire,11/26/2025,696,373,1041,177,82918,82811,,5183,,29,29,,,12,1,11,0
50101 - Cargill B.V.,50101,Cargill B.V.,24728,soconava,Cote d'Ivoire,11/26/2025,,581,368,237,0,0,,1676,,27,27,,,5,1,5,0
